departement;id;nom;population;longitude;latitude
1;ozan;OZAN;618;4.91667;46.3833
1;cormoranche-sur-saone;CORMORANCHE-SUR-SAONE;1058;4.83333;46.2333
1;plagne-01;PLAGNE;129;5.73333;46.1833
1;tossiat;TOSSIAT;1406;5.31667;46.1333
1;pouillat;POUILLAT;88;5.43333;46.3333
1;torcieu;TORCIEU;698;5.4;45.9167
1;replonges;REPLONGES;3500;4.88333;46.3
1;corcelles;CORCELLES;243;5.58333;46.0333
1;peron;PERON;2143;5.93333;46.2
1;relevant;RELEVANT;466;4.95;46.0833
1;chaveyriat;CHAVEYRIAT;927;5.06667;46.1833
1;vaux-en-bugey;VAUX-EN-BUGEY;1169;5.35;45.9167
1;maillat;MAILLAT;668;5.55;46.1333
1;faramans-01;FARAMANS;681;5.11667;45.9
1;beon-01;BEON;373;5.75;45.8333
1;saint-bernard-01;SAINT-BERNARD;1375;4.73723;45.945
1;rossillon;ROSSILLON;148;5.6;45.8333
1;pont-d-ain;PONT-D'AIN;2627;5.33333;46.05
1;nantua;NANTUA;3713;5.61667;46.15
1;chavannes-sur-reyssouze;CHAVANNES-SUR-REYSSOUZE;680;5;46.4333
1;neuville-les-dames;NEUVILLE-LES-DAMES;1504;5;46.1667
1;flaxieu;FLAXIEU;63;5.73333;45.8167
1;hotonnes;HOTONNES;306;5.68333;46
1;saint-sorlin-en-bugey;SAINT-SORLIN-EN-BUGEY;1061;5.36667;45.8833
1;songieu;SONGIEU;130;5.7;45.9667
1;virieu-le-petit;VIRIEU-LE-PETIT;309;5.71667;45.9
1;saint-denis-en-bugey;SAINT-DENIS-EN-BUGEY;2178;5.33333;45.95
1;charnoz-sur-ain;CHARNOZ-SUR-AIN;911;5.21667;45.8667
1;chazey-sur-ain;CHAZEY-SUR-AIN;1464;5.25;45.9
1;marchamp;MARCHAMP;118;5.55;45.7833
1;culoz;CULOZ;2909;5.78333;45.85
1;mantenay-montlin;MANTENAY-MONTLIN;288;5.08333;46.4167
1;marboz;MARBOZ;2182;5.25;46.3333
1;foissiat;FOISSIAT;1912;5.18333;46.3667
1;treffort-cuisiat;TREFFORT-CUISIAT;2204;5.36834;46.2714
1;izieu;IZIEU;201;5.63333;45.65
1;saint-etienne-du-bois-01;SAINT-ETIENNE-DU-BOIS;2441;5.28333;46.2833
1;hauteville-lompnes;HAUTEVILLE-LOMPNES;4044;5.6;45.9667
1;saint-trivier-sur-moignans;SAINT-TRIVIER-SUR-MOIGNANS;1877;4.9;46.0667
1;peyriat;PEYRIAT;171;5.51667;46.15
1;evosges;EVOSGES;140;5.5;45.9583
1;poncin;PONCIN;1644;5.4;46.0833
1;crans-01;CRANS;269;5.21667;45.9667
1;montreal-la-cluse;MONTREAL-LA-CLUSE;3457;5.57084;46.1867
1;cleyzieu;CLEYZIEU;135;5.43333;45.9
1;lompnieu;LOMPNIEU;122;5.65;45.9667
1;villereversure;VILLEREVERSURE;1208;5.38333;46.1833
1;saint-martin-du-mont-01;SAINT-MARTIN-DU-MONT;1651;5.33333;46.1
1;saint-genis-pouilly;SAINT-GENIS-POUILLY;8914;6.01667;46.25
1;bolozon;BOLOZON;94;5.48333;46.2
1;confrancon;CONFRANCON;1157;5.06667;46.2667
1;lochieu;LOCHIEU;91;5.71667;45.9333
1;chanoz-chatenay;CHANOZ-CHATENAY;706;5.03333;46.1833
1;villebois;VILLEBOIS;1153;5.43333;45.85
1;ceignes;CEIGNES;265;5.5;46.1167
1;saint-didier-sur-chalaronne;SAINT-DIDIER-SUR-CHALARONNE;2776;4.81667;46.1667
1;revonnas;REVONNAS;788;5.33333;46.1667
1;bourg-saint-christophe;BOURG-SAINT-CHRISTOPHE;1173;5.16667;45.8833
1;condeissiat;CONDEISSIAT;756;5.08333;46.1667
1;pirajoux;PIRAJOUX;360;5.3;46.3833
1;chalamont;CHALAMONT;2322;5.16667;46
1;plantay;LE PLANTAY;540;5.08333;46.0167
1;versailleux;VERSAILLEUX;332;5.1;45.9833
1;montagnat;MONTAGNAT;1646;5.28333;46.1667
1;vieu;VIEU;380;5.68333;45.9
1;saint-andre-de-corcy;SAINT-ANDRE-DE-CORCY;2991;4.95;45.9167
1;bressolles-01;BRESSOLLES;709;5.1;45.8667
1;peronnas;PERONNAS;6054;5.2;46.1833
1;colomieu;COLOMIEU;115;5.61667;45.7333
1;monthieux;MONTHIEUX;599;4.93333;45.95
1;saint-jean-sur-reyssouze;SAINT-JEAN-SUR-REYSSOUZE;744;5.06667;46.4
1;garnerans;GARNERANS;656;4.83333;46.2
1;montrevel-en-bresse;MONTREVEL-EN-BRESSE;2362;5.13333;46.3333
1;conand;CONAND;104;5.46667;45.8833
1;challes-la-montagne;CHALLES-LA-MONTAGNE;179;5.46667;46.1333
1;mogneneins;MOGNENEINS;727;4.81667;46.1333
1;thoissey;THOISSEY;1540;4.8;46.1667
1;chaleins;CHALEINS;1165;4.8;46.0333
1;neuville-sur-ain;NEUVILLE-SUR-AIN;1571;5.36667;46.0833
1;thil-01;THIL;1070;5.01667;45.8167
1;jujurieux;JUJURIEUX;2097;5.41667;46.0333
1;oncieu;ONCIEU;91;5.46667;45.95
1;lurcy;LURCY;393;4.76667;46.0667
1;balan-01;BALAN;2348;5.1;45.8333
1;ambutrix;AMBUTRIX;729;5.33333;45.9333
1;sainte-croix-01;SAINTE-CROIX;534;5.05195;45.8942
1;blyes;BLYES;886;5.25;45.85
1;conzieu;CONZIEU;135;5.6;45.7333
1;nievroz;NIEVROZ;1488;5.06667;45.8333
