File name : Communes_10_5000.txt
Number of vertex : 1947
--- Vertex --- 
0 saint-genis-pouilly
1 peronnas
2 miribel-01
3 thoiry-01
4 divonne-les-bains
5 lagnieu
6 amberieu-en-bugey
7 ferney-voltaire
8 viriat
9 oyonnax
10 montluel
11 belley
12 jassans-riottier
13 meximieux
14 prevessin-moens
15 trevoux-01
16 bellegarde-sur-valserine
17 bourg-en-bresse
18 saint-denis-les-bourg
19 gex
20 soissons
21 chauny
22 laon
23 tergnier
24 hirson
25 guise
26 chateau-thierry
27 saint-quentin
28 villers-cotterets
29 bohain-en-vermandois
30 gauchy
31 domerat
32 yzeure
33 gannat
34 montlucon
35 bellerive-sur-allier
36 vichy
37 commentry
38 cusset
39 moulins-03
40 chateau-arnoux-saint-auban
41 oraison
42 sisteron
43 manosque
44 digne-les-bains
45 embrun
46 gap
47 briancon
48 gaude
49 vence
50 grasse
51 peymeinade
52 beausoleil
53 roquefort-les-pins
54 biot-06
55 villefranche-sur-mer
56 valbonne
57 vallauris
58 contes-06
59 mouans-sartoux
60 saint-andre-de-la-roche
61 antibes
62 cannes
63 villeneuve-loubet
64 pegomas
65 mougins
66 cannet-06
67 carros
68 trinite-06
69 cagnes-sur-mer
70 menton
71 saint-laurent-du-var
72 nice
73 roquebrune-cap-martin
74 cap-d-ail
75 colle-sur-loup
76 mandelieu-la-napoule
77 saint-peray
78 teil
79 guilherand-granges
80 privas
81 tournon-sur-rhone
82 annonay
83 bourg-saint-andeol
84 voulte-sur-rhone
85 aubenas
86 givet
87 nouzonville
88 charleville-mezieres
89 revin
90 rethel
91 bogny-sur-meuse
92 sedan
93 saint-girons
94 foix
95 lavelanet
96 pamiers
97 saint-julien-les-villas
98 chapelle-saint-luc
99 sainte-savine
100 nogent-sur-seine
101 romilly-sur-seine
102 saint-andre-les-vergers
103 bar-sur-aube
104 troyes
105 carcassonne
106 castelnaudary
107 limoux
108 narbonne
109 sigean
110 port-la-nouvelle
111 lezignan-corbieres
112 trebes
113 coursan
114 luc-la-primaube
115 onet-le-chateau
116 rodez
117 saint-affrique
118 millau
119 villefranche-de-rouergue
120 decazeville
121 roque-d-antheron
122 cassis
123 senas
124 saint-remy-de-provence
125 eguilles
126 istres
127 noves
128 aix-en-provence
129 allauch
130 fare-les-oliviers
131 saint-cannat
132 bouc-bel-air
133 peypin
134 bouilladisse
135 roquefort-la-bedoule
136 saint-victoret
137 salon-de-provence
138 marseille
139 port-saint-louis-du-rhone
140 puy-sainte-reparade
141 chateaurenard
142 mallemort
143 cabries
144 saint-chamas
145 saint-mitre-les-remparts
146 rognac
147 plan-de-cuques
148 arles
149 venelles
150 aubagne
151 martigues
152 port-de-bouc
153 gignac-la-nerthe
154 vitrolles-13
155 tarascon
156 septemes-les-vallons
157 sausset-les-pins
158 miramas
159 fuveau
160 roquevaire
161 fos-sur-mer
162 meyreuil
163 pennes-mirabeau
164 pelissanne
165 ciotat
166 penne-sur-huveaune
167 trets
168 gemenos
169 carry-le-rouet
170 saint-martin-de-crau
171 ensues-la-redonne
172 marignane
173 simiane-collongue
174 lancon-provence
175 lambesc
176 carnoux-en-provence
177 eyguieres
178 velaux
179 gardanne
180 berre-l-etang
181 auriol
182 chateauneuf-les-martigues
183 blainville-sur-orne
184 ouistreham
185 vire-14
186 ifs-14
187 conde-sur-noireau
188 colombelles
189 lisieux
190 falaise-14
191 bayeux
192 mondeville-14
193 herouville-saint-clair
194 caen
195 dives-sur-mer
196 honfleur
197 aurillac
198 saint-flour-15
199 arpajon-sur-cere
200 soyaux
201 couronne
202 saint-yrieix-sur-charente
203 gond-pontouvre
204 ruelle-sur-touvre
205 cognac
206 angouleme
207 champniers-16
208 isle-d-espagnac
209 saint-pierre-d-oleron
210 surgeres
211 perigny-17
212 saintes
213 nieul-sur-mer
214 saujon
215 rochelle-17
216 aytre
217 royan
218 dompierre-sur-mer
219 saint-jean-d-angely
220 marennes-17
221 tonnay-charente
222 rochefort-17
223 lagord
224 saint-georges-de-didonne
225 chatelaillon-plage
226 puilboreau
227 saint-doulchard
228 saint-amand-montrond
229 vierzon
230 mehun-sur-yevre
231 saint-florent-sur-cher
232 bourges
233 aubigny-sur-nere
234 tulle
235 ussel-19
236 malemort-sur-correze
237 brive-la-gaillarde
238 quetigny
239 montbard
240 nuits-saint-georges
241 chenove
242 beaune
243 dijon
244 chatillon-sur-seine
245 fontaine-les-dijon
246 talant
247 marsannay-la-cote
248 genlis
249 auxonne
250 saint-apollinaire-21
251 chevigny-saint-sauveur
252 longvic
253 ploufragan
254 perros-guirec
255 paimpol
256 loudeac
257 saint-brieuc
258 ploumagoar
259 guingamp
260 pordic
261 lannion
262 langueux
263 tregueux
264 dinan
265 lamballe
266 pledran
267 plerin
268 gueret
269 souterraine
270 boulazac
271 coulounieix-chamiers
272 perigueux
273 sarlat-la-caneda
274 bergerac
275 trelissac
276 montpon-menesterol
277 saint-astier-24
278 terrasson-lavilledieu
279 morteau
280 bethoncourt
281 valdahon
282 grand-charmont
283 valentigney
284 pontarlier
285 seloncourt
286 baume-les-dames
287 montbeliard
288 audincourt
289 besancon
290 nyons
291 romans-sur-isere
292 valence-26
293 crest-26
294 livron-sur-drome
295 montelimar
296 tain-l-hermitage
297 saint-rambert-d-albon
298 saint-marcel-les-valence
299 bourg-les-valence
300 loriol-sur-drome
301 saint-paul-trois-chateaux
302 portes-les-valence
303 donzere
304 pierrelatte
305 bourg-de-peage
306 chabeuil
307 gisors
308 louviers
309 bernay
310 pont-audemer
311 vernon-27
312 andelys
313 val-de-reuil
314 gaillon
315 evreux
316 verneuil-sur-avre
317 epernon
318 leves
319 luce-28
320 chartres
321 dreux
322 vernouillet-28
323 chateaudun
324 mainvilliers-28
325 nogent-le-rotrou
326 luisant
327 relecq-kerhuon
328 guilers
329 lannilis
330 briec
331 quimperle
332 plougastel-daoulas
333 saint-pol-de-leon
334 plouguerneau
335 fouesnant
336 scaer
337 chateaulin
338 pont-l-abbe
339 guipavas
340 saint-renan
341 concarneau
342 gouesnou
343 lesneven
344 landivisiau
345 tregunc
346 crozon
347 plabennec
348 morlaix
349 plouzane
350 rosporden
351 bannalec
352 ergue-gaberic
353 quimper
354 penmarch
355 douarnenez
356 landerneau
357 moelan-sur-mer
358 ploneour-lanvern
359 carhaix-plouguer
360 brest
361 ploudalmezeau
362 grau-du-roi
363 roquemaure-30
364 beaucaire-30
365 aigues-mortes
366 manduel
